January2003,40.0,10.2,48.8,36.8,50.0,31.6,21.4,29.6,52.2,42.3,31.4,22.8,21.6,19.1,31.8,28.4,45.6,9.2,28.6,19.0,16.7,10.1,40.5,27.4,24.7,26.9,40.7,11.5,26.4,40.2,14.6,36.4,10.7,21.5,37.2,39.0,20.6,23.5,41.5,19.8,32.2,46.2,35.2,9.5,31.1,36.1,25.5,13.7,28.0
February2003,48.0,16.5,45.5,40.1,45.7,26.3,23.8,32.1,61.2,48.9,27.1,26.4,25.7,20.4,31.3,33.6,50.7,12.2,31.0,22.8,16.3,9.9,46.7,31.2,21.4,25.0,34.1,16.3,28.2,38.6,18.3,41.4,8.8,25.4,38.3,35.0,23.8,25.2,46.6,18.8,38.5,48.3,31.0,14.2,34.8,35.4,30.5,13.7,20.2
March2003,57.6,11.0,50.6,51.2,51.4,36.6,36.0,45.1,69.8,59.0,36.3,41.6,42.1,35.1,44.2,48.8,58.6,24.2,44.4,34.5,29.3,25.8,56.4,44.6,29.8,38.7,42.7,28.4,41.3,45.1,31.7,52.8,22.8,41.0,49.7,41.5,37.2,36.8,57.0,32.1,51.3,57.2,40.3,27.8,48.0,41.0,45.0,29.1,32.0
April2003,63.3,27.8,55.6,61.7,50.0,45.3,44.5,52.0,69.4,62.7,40.8,53.5,53.2,50.4,56.1,57.7,66.7,35.7,52.6,42.9,41.4,43.4,64.3,56.7,44.1,50.5,44.2,38.7,48.5,52.9,41.3,57.6,44.9,52.0,60.9,41.8,47.8,44.2,61.1,47.9,59.4,66.6,45.8,38.1,54.7,44.6,53.4,42.6,42.7
May2003,71.6,38.4,68.3,69.6,62.0,53.8,55.0,59.0,78.1,71.7,49.9,61.1,60.5,57.9,62.9,64.2,76.4,49.6,59.7,54.2,52.8,54.3,73.0,63.5,50.1,57.4,57.0,52.0,56.9,63.2,53.8,65.8,53.3,59.5,68.7,51.2,56.1,54.0,70.2,55.0,66.5,75.8,57.4,51.9,61.7,51.3,59.8,53.8,49.8
June2003,75.6,51.2,76.3,73.1,71.2,60.1,64.7,70.0,80.1,76.1,59.1,67.9,67.1,67.3,70.4,68.7,79.6,61.2,69.5,64.0,62.1,63.6,76.6,69.2,58.4,66.1,67.8,62.5,67.4,69.2,62.7,72.5,62.0,66.0,73.3,61.2,64.0,64.2,76.0,63.9,70.6,78.5,66.0,61.7,68.9,60.8,65.1,63.1,56.1
July2003,78.5,53.5,83.8,80.0,78.7,72.4,71.5,76.3,81.4,78.7,70.4,74.7,73.0,73.0,81.8,75.2,81.3,65.9,75.5,71.0,67.8,68.8,79.7,78.1,70.3,76.4,77.0,67.6,74.5,76.8,68.1,76.6,69.9,71.6,83.3,70.1,69.7,71.7,79.0,74.4,76.2,82.1,77.2,66.5,74.5,67.5,71.2,68.4,70.2
August2003,79.4,50.6,80.0,80.8,75.0,68.4,72.2,76.5,81.1,79.2,67.7,75.3,73.8,74.1,80.2,75.9,82.5,66.0,76.1,71.5,68.8,70.2,80.6,78.8,70.0,75.5,72.4,67.9,75.1,73.5,69.1,77.3,72.2,72.6,82.7,66.6,70.9,73.0,79.7,74.8,77.1,82.9,72.7,67.3,75.5,65.9,72.4,70.1,68.1
September2003,73.1,39.0,74.8,70.2,72.9,56.7,63.3,69.3,78.9,73.1,56.7,64.1,63.4,61.1,65.1,66.2,76.0,58.4,67.8,62.6,59.5,57.9,73.4,64.8,54.6,61.1,64.8,58.6,66.9,66.0,60.5,69.4,56.8,62.8,69.0,61.0,61.7,64.6,72.4,60.0,68.1,73.9,62.2,58.4,66.7,60.0,63.6,59.4,52.9
October2003,63.5,31.7,67.3,62.8,65.4,51.5,49.3,55.8,73.5,64.4,48.7,54.5,52.9,52.4,58.3,56.7,67.8,44.6,54.7,48.6,46.6,47.0,64.5,57.2,47.5,54.6,47.0,44.9,52.9,58.9,46.2,58.9,47.9,51.2,62.8,52.1,48.5,50.7,63.2,51.8,58.5,67.4,55.0,44.1,55.2,50.6,51.9,46.8,47.0
